time_ps,mindist_nm
3.217000e+04,1.303727e-01
3.218000e+04,1.328797e-01
3.219000e+04,1.320341e-01
3.220000e+04,1.309848e-01
3.221000e+04,1.292015e-01
3.222000e+04,1.322459e-01
3.223000e+04,1.318600e-01
3.224000e+04,1.318332e-01
3.225000e+04,1.351628e-01
3.226000e+04,1.307097e-01
3.227000e+04,1.338431e-01
3.228000e+04,1.362754e-01
3.229000e+04,1.348963e-01
3.230000e+04,1.313963e-01
3.231000e+04,1.283667e-01
3.232000e+04,1.293869e-01
3.233000e+04,1.364517e-01
3.234000e+04,1.329735e-01
3.235000e+04,1.308662e-01
3.236000e+04,1.288176e-01
3.237000e+04,1.351185e-01
3.238000e+04,1.316740e-01
3.239000e+04,1.326047e-01
3.240000e+04,1.300232e-01
3.241000e+04,1.275735e-01
3.242000e+04,1.328947e-01
3.243000e+04,1.336001e-01
3.244000e+04,1.321020e-01
3.245000e+04,1.346478e-01
3.246000e+04,1.361908e-01
3.247000e+04,1.294488e-01
3.248000e+04,1.337049e-01
3.249000e+04,1.313735e-01
3.250000e+04,1.347481e-01
3.251000e+04,1.313431e-01
3.252000e+04,1.342611e-01
3.253000e+04,1.317763e-01
3.254000e+04,1.336749e-01
3.255000e+04,1.305718e-01
3.256000e+04,1.338358e-01
3.257000e+04,1.302076e-01
3.258000e+04,1.318598e-01
3.259000e+04,1.333941e-01
3.260000e+04,1.327667e-01
3.261000e+04,1.367736e-01
3.262000e+04,1.324877e-01
3.263000e+04,1.310953e-01
3.264000e+04,1.345621e-01
3.265000e+04,1.317801e-01
3.266000e+04,1.310916e-01
3.267000e+04,1.355397e-01
3.268000e+04,1.328532e-01
3.269000e+04,1.321249e-01
3.270000e+04,1.307250e-01
3.271000e+04,1.291240e-01
3.272000e+04,1.328495e-01
3.273000e+04,1.335702e-01
3.274000e+04,1.330638e-01
3.275000e+04,1.329399e-01
3.276000e+04,1.318596e-01
3.277000e+04,1.331391e-01
3.278000e+04,1.281443e-01
3.279000e+04,1.311220e-01
3.280000e+04,1.330376e-01
3.281000e+04,1.332816e-01
3.282000e+04,1.312897e-01
3.283000e+04,1.327781e-01
3.284000e+04,1.346515e-01
3.285000e+04,1.336451e-01
3.286000e+04,1.291511e-01
3.287000e+04,1.322497e-01
3.288000e+04,1.328872e-01
3.289000e+04,1.355064e-01
3.290000e+04,1.314040e-01
3.291000e+04,1.307440e-01
3.292000e+04,1.348516e-01
3.293000e+04,1.332253e-01
3.294000e+04,1.351813e-01
3.295000e+04,1.319623e-01
3.296000e+04,1.341864e-01
3.297000e+04,1.376479e-01
3.298000e+04,1.323406e-01
3.299000e+04,1.343801e-01
3.300000e+04,1.327406e-01
3.301000e+04,1.312593e-01
3.302000e+04,1.323255e-01
3.303000e+04,1.285691e-01
3.304000e+04,1.326235e-01
3.305000e+04,1.334466e-01
3.306000e+04,1.312556e-01
3.307000e+04,1.345289e-01
3.308000e+04,1.340635e-01
3.309000e+04,1.331391e-01
3.310000e+04,1.337610e-01
3.311000e+04,1.326424e-01
3.312000e+04,1.320000e-01
3.313000e+04,1.344767e-01
3.314000e+04,1.335777e-01
3.315000e+04,1.289380e-01
3.316000e+04,1.312324e-01
3.317000e+04,1.312708e-01
3.318000e+04,1.311414e-01
3.319000e+04,1.325177e-01
3.320000e+04,1.326988e-01
3.321000e+04,1.283783e-01
3.322000e+04,1.348999e-01
3.323000e+04,1.319167e-01
3.324000e+04,1.313658e-01
3.325000e+04,1.320910e-01
3.326000e+04,1.353663e-01
3.327000e+04,1.343802e-01
3.328000e+04,1.301307e-01
3.329000e+04,1.328685e-01
3.330000e+04,1.327140e-01
3.331000e+04,1.311714e-01
3.332000e+04,1.366783e-01
3.333000e+04,1.351074e-01
3.334000e+04,1.316243e-01
3.335000e+04,1.319508e-01
3.336000e+04,1.340970e-01
3.337000e+04,1.280312e-01
3.338000e+04,1.319092e-01
3.339000e+04,1.326538e-01
3.340000e+04,1.332892e-01
3.341000e+04,1.322459e-01
3.342000e+04,1.373537e-01
3.343000e+04,1.317344e-01
3.344000e+04,1.294721e-01
3.345000e+04,1.322460e-01
3.346000e+04,1.271337e-01
3.347000e+04,1.304222e-01
3.348000e+04,1.357830e-01
3.349000e+04,1.376990e-01
3.350000e+04,1.323972e-01
3.351000e+04,1.329250e-01
3.352000e+04,1.372915e-01
3.353000e+04,1.321515e-01
3.354000e+04,1.344506e-01
3.355000e+04,1.326424e-01
3.356000e+04,1.325669e-01
3.357000e+04,1.343765e-01
3.358000e+04,1.325858e-01
3.359000e+04,1.348666e-01
3.360000e+04,1.334317e-01
3.361000e+04,1.338546e-01
3.362000e+04,1.329135e-01
3.363000e+04,1.281718e-01
3.364000e+04,1.342164e-01
3.365000e+04,1.326123e-01
3.366000e+04,1.306293e-01
3.367000e+04,1.297266e-01
3.368000e+04,1.341826e-01
3.369000e+04,1.336300e-01
3.370000e+04,1.331917e-01
3.371000e+04,1.312822e-01
3.372000e+04,1.316246e-01
3.373000e+04,1.338544e-01
3.374000e+04,1.338581e-01
3.375000e+04,1.340225e-01
3.376000e+04,1.302727e-01
3.377000e+04,1.326878e-01
3.378000e+04,1.306330e-01
3.379000e+04,1.318484e-01
3.380000e+04,1.320228e-01
3.381000e+04,1.318712e-01
3.382000e+04,1.317800e-01
3.383000e+04,1.364588e-01
3.384000e+04,1.298807e-01
3.385000e+04,1.331502e-01
3.386000e+04,1.350704e-01
3.387000e+04,1.345398e-01
3.388000e+04,1.322914e-01
3.389000e+04,1.364881e-01
3.390000e+04,1.336301e-01
3.391000e+04,1.285107e-01
3.392000e+04,1.310915e-01
3.393000e+04,1.325555e-01
3.394000e+04,1.323519e-01
3.395000e+04,1.291667e-01
3.396000e+04,1.320680e-01
3.397000e+04,1.321325e-01
3.398000e+04,1.309886e-01
3.399000e+04,1.339778e-01
3.400000e+04,1.299577e-01
3.401000e+04,1.297151e-01
3.402000e+04,1.312287e-01
3.403000e+04,1.319887e-01
3.404000e+04,1.319508e-01
3.405000e+04,1.289418e-01
3.406000e+04,1.339927e-01
3.407000e+04,1.332254e-01
3.408000e+04,1.313659e-01
3.409000e+04,1.292053e-01
3.410000e+04,1.297536e-01
3.411000e+04,1.335253e-01
3.412000e+04,1.315559e-01
3.413000e+04,1.317156e-01
3.414000e+04,1.322043e-01
3.415000e+04,1.328797e-01
3.416000e+04,1.340075e-01
3.417000e+04,1.339068e-01
3.418000e+04,1.320758e-01
3.419000e+04,1.325254e-01
3.420000e+04,1.304184e-01
3.421000e+04,1.343802e-01
3.422000e+04,1.331163e-01
3.423000e+04,1.373791e-01
3.424000e+04,1.307517e-01
3.425000e+04,1.330377e-01
3.426000e+04,1.337871e-01
3.427000e+04,1.296188e-01
3.428000e+04,1.305565e-01
3.429000e+04,1.330490e-01
3.430000e+04,1.317499e-01
3.431000e+04,1.340969e-01
3.432000e+04,1.332104e-01
3.433000e+04,1.327328e-01
3.434000e+04,1.318067e-01
3.435000e+04,1.344321e-01
3.436000e+04,1.354770e-01
3.437000e+04,1.338283e-01
3.438000e+04,1.314039e-01
3.439000e+04,1.302958e-01
3.440000e+04,1.302114e-01
3.441000e+04,1.353292e-01
3.442000e+04,1.357718e-01
3.443000e+04,1.361250e-01
3.444000e+04,1.325217e-01
3.445000e+04,1.345400e-01
3.446000e+04,1.299923e-01
3.447000e+04,1.347182e-01
3.448000e+04,1.320834e-01
3.449000e+04,1.323329e-01
